,nla,original,original minus nla,original minus nla normed
587,0.6466243048157508,0.525437138616673,-0.12118716619907788,-0.23064065573691522
372,0.5430456140058212,0.5763167266940803,0.03327111268825911,0.05773060393216738
37,0.5394154293220302,0.5300713510376464,-0.009344078284383883,-0.017627963228143327
473,0.5205922325822333,0.4438130001072391,-0.07677923247499419,-0.17299906144354021
523,0.5052624851029712,0.5052624851029712,0.0,0.0
514,0.48473290491792603,0.5595986225584352,0.07486571764050914,0.13378467105267297
253,0.45685213780688894,0.4116344538052041,-0.045217684001684855,-0.10984912361850793
481,0.33304751348056677,0.47547327128853145,0.14242575780796468,0.29954524556552087
35,0.30836817104814634,0.4647441823310518,0.15637601128290546,0.33647760903333684
515,0.2787717475033064,0.46409460100601707,0.18532285350271066,0.39932128730001737
162,0.24284544983647896,0.3495306255743575,0.10668517573787853,0.3052241146611138
277,0.24030040239165695,0.34488136224033766,0.10458095984868071,0.3032374935233564
244,0.23943191835519861,0.3504669354425832,0.11103501708738461,0.3168202356868995
443,0.23223025205380318,0.15413710727358224,-0.07809314478022095,-0.5066472711312225
572,0.2187439328875818,0.3588480778617166,0.1401041449741348,0.3904274639256238
362,0.2172979376952592,0.336819287235964,0.11952134954070479,0.3548530445555282
550,0.2157726841667114,0.3141864339557193,0.09841374978900794,0.3132336063971436
26,0.2146163261923774,0.2533702969303971,0.0387539707380197,0.15295388294337334
310,0.2125644777482481,0.28431654637685677,0.07175206862860867,0.25236684091365724
252,0.2112832456883252,0.34744278043915716,0.13615953475083195,0.391890528215122
517,0.20250100222685188,0.20250100222685188,0.0,0.0
127,0.19831562291715063,0.3817765477696912,0.1834609248525406,0.4805452978301181
396,0.19190928567064014,0.30423875300615505,0.11232946733551491,0.3692148558511952
391,0.188267591351534,0.35520692028371315,0.16693932893217914,0.4699776929988872
471,0.18671998276521362,0.2848539599945572,0.09813397722934358,0.34450627694001046
333,0.18537795445358068,0.23504655823372478,0.049668603780144094,0.21131389522732258
28,0.18142891920297535,0.36543164233842457,0.18400272313544921,0.5035215942385338
54,0.17954183573087226,0.2260017182951126,0.04645988256424033,0.20557313862354404
6,0.17596060816425685,0.28405914541365557,0.10809853724939872,0.38054939963993184
502,0.17464152756015847,0.4130351607910898,0.23839363323093135,0.5771751556800491
316,0.17107524762091492,0.1742886710328119,0.0032134234118969818,0.018437362525370433
225,0.16640835861484218,0.20880017197907955,0.04239181336423736,0.20302575885083443
82,0.16040941837966086,0.3227255617326868,0.16231614335302594,0.5029540966063054
309,0.15789451623224057,0.2234404240448314,0.06554590781259081,0.2933484757415229
268,0.1574508725102241,0.1201575345926699,-0.03729333791755421,-0.31037036540386254
470,0.1515156968036117,0.17148652090866529,0.019970824105053575,0.11645710694480851
456,0.15020594882084215,0.15020594882084215,0.0,0.0
460,0.14910687519493881,0.14910687519493881,0.0,0.0
510,0.14530699763773516,0.16732017936807952,0.02201318173034436,0.1315632209664241
516,0.14198838474412018,0.14198838474412018,0.0,0.0
22,0.14009225028358463,0.36852849077933864,0.228436240495754,0.6198604618402035
194,0.13438489710782694,0.18201382813677466,0.04762893102894772,0.26167754129733956
511,0.13037965959497386,0.3076205597139744,0.17724090011900054,0.5761672766079066
544,0.12472220034683142,0.25655532981783724,0.13183312947100584,0.5138584708593336
438,0.12447041852463807,0.19308097665289023,0.06861055812825216,0.35534602796005244
435,0.1219757511343317,0.19611429507368108,0.07413854393934938,0.37803742920165595
486,0.11747015465605673,0.11288288134597832,-0.00458727331007841,-0.04063745764974523
52,0.11242614995979389,0.11242614995979389,0.0,0.0
548,0.11219429164930422,0.3424701187748757,0.2302758271255715,0.6723968442833529
528,0.1118111955597215,0.2174398132425879,0.10562861768286641,0.48578324322336164
113,0.11170714324825377,0.1673261750126541,0.05561903176440032,0.33239887160627507
390,0.1114656008948379,0.3856796052890263,0.2742140043941884,0.7109891231834617
566,0.11109958758890037,0.2353150026272945,0.12421541503839412,0.5278686596754465
1,0.10946435372994738,0.13642182025204888,0.0269574665221015,0.19760377388526038
170,0.10714484891304535,0.22010678438901615,0.1129619354759708,0.5132142373054807
356,0.10565914148090666,0.10565914148090666,0.0,0.0
452,0.10171052665975262,0.13739594139785832,0.0356854147381057,0.2597268476422547
20,0.09992334970263705,0.36938318658070307,0.269459836878066,0.7294859286162833
248,0.09978424606763536,0.26907256980604355,0.1692883237384082,0.6291548925274577
482,0.0958760726968061,0.0958760726968061,0.0,0.0
522,0.09472802200780059,0.09472802200780059,0.0,0.0
301,0.09384755562615271,0.09384755562615271,0.0,0.0
275,0.09170537196540603,0.14915882627494742,0.057453454309541394,0.38518306790398243
363,0.09146140884536165,0.14038211091079061,0.048920702065428964,0.34848245084814883
114,0.09032708621267212,0.17132200439284537,0.08099491818017325,0.47276424570920855
270,0.08690167093450922,0.12707308221665237,0.040171411282143146,0.31612840879749166
543,0.0863605924141673,0.15158644561992507,0.06522585320575777,0.4302881628961703
448,0.08426100037178855,0.17148615464530612,0.08722515427351757,0.5086425458307696
584,0.08421477132361192,0.08753436393446398,0.0033195926108520596,0.03792330762050664
75,0.08384727124018511,0.08384727124018511,0.0,0.0
347,0.08227196506479205,0.09479439676031734,0.01252243169552529,0.13210096929238974
467,0.07958081055337475,0.11359547805074766,0.034014667497372905,0.2994368092907465
92,0.0795685462978386,0.19172374236356957,0.11215519606573096,0.5849833446973345
466,0.07761013704366873,0.10998549998681117,0.032375362943142444,0.2943602833739421
209,0.0768542971768567,0.285964835518978,0.2091105383421213,0.7312456371169584
91,0.07591357584724859,0.07591357584724859,0.0,0.0
153,0.07355970245159352,0.10138722008597753,0.027827517634384014,0.27446770520767766
109,0.07309618041860609,0.17312677248536906,0.10003059206676297,0.5777881180983522
380,0.07156282967799102,0.10036723213747431,0.02880440245948329,0.286990104699007
508,0.06930865523526761,0.32133916172581556,0.2520305064905479,0.784313076367562
208,0.06751237034480294,0.3032649501507707,0.23575257980596775,0.7773815592232515
377,0.0662555611599142,0.08301341292742254,0.01675785176750834,0.20186920615057105
106,0.0629807129604496,0.13632479467171582,0.07334408171126622,0.5380098454421761
464,0.06272600381210001,0.06272600381210001,0.0,0.0
164,0.0616147871436564,0.06316148661748965,0.001546699473833242,0.024488015666891464
172,0.05970275827711819,0.11031681712222939,0.0506140588451112,0.45880637390971474
418,0.05906298669819778,0.1609736517657928,0.10191066506759502,0.633089104643467
90,0.05685238598427723,0.10539864965353998,0.048546263669262756,0.46059663789660565
294,0.05675338874672214,0.056753388746722144,6.938893903907228e-18,1.2226395739775085e-16
454,0.05490367247045175,0.23639381309762805,0.1814901406271763,0.7677448840516942
595,0.05261386130863386,0.20792246817505455,0.1553086068664207,0.746954421181952
254,0.052168569630393964,0.08229543841841347,0.030126868788019505,0.36608187971301537
292,0.05188886347706927,0.05188886347706927,0.0,0.0
477,0.051544279767015595,0.23556284335443312,0.18401856358741753,0.7811867141989753
100,0.04931018528732378,0.16346004050887394,0.11414985522155016,0.698334925564595
455,0.04904382631690596,0.05247119756803866,0.0034273712511327034,0.065319097142551
9,0.0475869305812466,0.07835314363809857,0.030766213056851975,0.3926608637294312
228,0.04533065407229139,0.04533065407229139,0.0,0.0
101,0.04521713318948648,0.22803286208780985,0.18281572889832337,0.801707820638262
118,0.045208599280028836,0.29711793452297836,0.2519093352429495,0.8478429134457633
173,0.044625940634362045,0.09814248705029087,0.053516546415928824,0.5452943778417343
64,0.04347580076579875,0.0767207621908761,0.03324496142507735,0.4333241807786805
384,0.04214482636600167,0.04214482636600167,0.0,0.0
29,0.04098996698511861,0.04098996698511861,0.0,0.0
474,0.04088309111423947,0.15341470870078494,0.11253161758654548,0.733512572161666
142,0.040819889082426716,0.08631799668384303,0.045498107601416315,0.5270987435918173
326,0.037742164049889386,0.037742164049889386,0.0,0.0
563,0.03734915643310778,0.06781360029166188,0.030464443858554097,0.4492379659467792
128,0.03678068649638586,0.06383168008562058,0.02705099358923472,0.42378633231884055
